#known query type ID	restated question	corpus	types	solution script	additional parameters
Q0	What is $term	['What is an','What is a','what is','what are']	['term']	Q0Solution.py -i '$term'	{}
Q1	Which genetic conditions might offer protection against $disease?	['what genetic conditions might offer protection against','what genetic conditions protect against','what genetic diseases might protect against','what genetic conditions offer protection against']	['disease']	Q1Solution.py -i '$disease' -j	{}
Q2	What is the clinical outcome pathway of $chemical_substance for the treatment of $disease	['what is the clinical outcome pathway of for the treatment', 'what is the clinical outcome pathway for the treatment of with','what is the COP for the treatment of']	['chemical_substance','disease']	Q2Solution.py -r '$chemical_substance' -d '$disease' -j	{}
Q3	what proteins are the target of $chemical_substance	['what are the protein targets of', 'what proteins does target','what proteins are the target of']	['chemical_substance']	Q3Solution.py -s '$chemical_substance' -t '$target_label' -r '$rel_type' -j	{'target_label': 'protein', 'rel_type': 'directly_interacts_with'}
Q4	what proteins are in the pathway $pathway	['what proteins are in the pathway', 'what proteins are in', 'has what proteins in it']	['pathway']	Q3Solution.py -s '$pathway' -t '$target_label' -r '$rel_type' -j	{'target_label': 'protein', 'rel_type': 'participates_in'}
Q5	what are the phenotypes of the disease $disease	['what are the symptoms of','what are the phenotypes of']	['disease']	Q3Solution.py -s '$disease' -t '$target_label' -r '$rel_type' -j	{'target_label': 'phenotypic_feature', 'rel_type': 'has_phenotype'}
Q6	what micrornas control the expression of $protein	['what micrornas control the expression of','what microRNAs control the expression of']	['protein']	Q3Solution.py -s '$protein' -t '$target_label' -r '$rel_type' -j	{'target_label': 'microRNA', 'rel_type': 'regulates'}
Q7	what genes are associated with $disease	['what are the genes associated with','what are the proteins associated with']	['disont_diease']	Q3Solution.py -s '$disease' -t '$target_label' -r '$rel_type' -j	{'target_label': 'protein', 'rel_type': 'associated_with_condition'}
Q8	what genes are expressed in $anatomical_entity	['what genes are expressed in','what proteins are expressed in']	['anatomical_entity']	Q3Solution.py -s '$anatomical_entity' -t '$target_label' -r '$rel_type' -j	{'target_label': 'protein', 'rel_type': 'expressed_in'}
Q9	what are the drugs that target $protein	['what drugs target','what are the drugs that target']	['protein']	Q3Solution.py -s '$protein' -t '$target_label' -r '$rel_type' -j	{'target_label': 'chemical_substance', 'rel_type': 'directly_interacts_with'}
Q10	what proteins are associated with $phenotypic_feature	['what proteins are associated with','what genes are associated with']	['phenotypic_feature']	Q3Solution.py -s '$phenotypic_feature' -t '$target_label' -r '$rel_type' -j	{'target_label': 'protein', 'rel_type': 'associated_with_condition'}
Q11	what micrornas are expressed in $anatomical_entity	['what micrornas are expressed in','what microRNAs are expressed in']	['anatomical_entity']	Q3Solution.py -s '$anatomical_entity' -t '$target_label' -r '$rel_type' -j	{'target_label': 'microRNA', 'rel_type': 'expressed_in'}
Q12	what proteins interact with $protein	['what proteins interact with','what genes interact with']	['protein']	Q3Solution.py -s '$protein' -t '$target_label' -r '$rel_type' -j	{'target_label': 'protein', 'rel_type': 'directly_interacts_with'}
Q13	what diseases have similar phenotypes to $disease	['what diseases have similar phenotypes to', 'what diseases have symptoms similar to']	['disease']	SimilarityQuestionSolution.py -s '$disease' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'disease', 'association': 'phenotypic_feature', 'threshold':0.2}
Q14	what diseases involve similar genes to $disease	['what diseases involve similar genes to']	['disease']	SimilarityQuestionSolution.py -s '$disease' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'disease', 'association': 'protein', 'threshold':0.02}
Q15	what diseases involve similar micrornas to $disease	['what diseases involve similar micrornas to']	['disease']	SimilarityQuestionSolution.py -s '$disease' -t '$target' -a '$association' --threshold $threshold -j	{'target': 'disease', 'association': 'microRNA', 'threshold':0.02}
